X	Surf_idx	Z
0.00	26	50.00
25.96	26	50.00
50.96	27	52.00
77.21	27	52.00
102.21	27	52.00
127.21	28	54.00
153.46	28	54.00
178.46	28	54.00
203.76	29	56.00
229.72	29	56.00
254.72	29	56.00
280.97	30	58.00
305.97	30	58.00
330.97	30	58.00
357.22	30	58.00
382.22	30	58.00
407.51	30	58.00
433.48	30	58.00
458.48	30	58.00
484.73	30	58.00
509.73	30	58.00
534.73	29	56.00
560.97	29	56.00
585.97	29	56.00
612.22	29	56.00
637.22	28	54.00
662.22	28	54.00
688.47	28	54.00
713.47	28	54.00
738.77	28	54.00
764.73	27	52.00
789.73	27	52.00
815.98	27	52.00
840.98	27	52.00
865.98	26	50.00
892.23	26	50.00
917.23	26	50.00
942.53	26	50.00
968.49	25	48.00
993.49	25	48.00
1019.74	25	48.00
1044.74	25	48.00
1069.74	25	48.00
1095.99	25	48.00
1120.99	26	50.00
1146.28	26	50.00
1172.25	26	50.00
1197.25	27	52.00
1223.49	27	52.00
1248.49	28	54.00
1273.49	28	54.00
1299.74	29	56.00
1324.74	29	56.00
1350.99	30	58.00
1375.99	31	60.00
1400.99	31	60.00
1427.24	31	60.00
1452.24	32	62.00
1477.54	32	62.00
1503.50	32	62.00
1528.50	32	62.00
1554.75	32	62.00
1579.75	32	62.00
1604.75	33	64.00
1631.00	33	64.00
1656.00	33	64.00
1681.30	33	64.00
1707.26	33	64.00
1732.26	33	64.00
1758.51	33	64.00
1783.51	33	64.00
1808.51	33	64.00
1834.76	33	64.00
1859.76	33	64.00
1885.05	33	64.00
1911.02	33	64.00
1936.02	33	64.00
1962.26	33	64.00
1987.26	34	66.00
2012.26	34	66.00
2038.51	34	66.00
2063.51	34	66.00
2089.76	34	66.00
2114.76	34	66.00
2139.76	34	66.00
2166.01	34	66.00
2191.01	34	66.00
2216.31	34	66.00
2242.27	34	66.00
2267.27	34	66.00
2293.52	34	66.00
2318.52	34	66.00
2343.52	34	66.00
2369.77	34	66.00
2394.77	34	66.00
2420.07	34	66.00
2446.03	34	66.00
2471.03	34	66.00
2497.28	34	66.00
2522.28	34	66.00
2547.28	34	66.00
2573.53	34	66.00
2598.53	34	66.00
2623.82	34	66.00
2649.79	35	68.00
2674.79	35	68.00
2701.03	35	68.00
2726.03	35	68.00
2751.03	35	68.00
2777.28	35	68.00
2802.28	35	68.00
2828.53	35	68.00
2853.53	35	68.00
2878.53	35	68.00
2904.78	35	68.00
2929.78	35	68.00
2955.08	35	68.00
2981.04	35	68.00
3006.04	35	68.00
3032.29	35	68.00
3057.29	35	68.00
3082.29	35	68.00
3108.54	34	66.00
3133.54	34	66.00
3158.84	34	66.00
3184.80	34	66.00
3209.80	34	66.00
3236.05	34	66.00
3261.05	33	64.00
3286.05	33	64.00
3312.30	33	64.00
3337.30	33	64.00
3362.59	32	62.00
3388.55	32	62.00
3413.55	32	62.00
3439.80	32	62.00
3464.80	32	62.00
3489.80	32	62.00
3516.05	32	62.00
3541.05	32	62.00
3567.30	32	62.00
3592.30	32	62.00
3617.30	32	62.00
3643.55	32	62.00
3668.55	32	62.00
3693.55	32	62.00
3719.80	32	62.00
3744.80	32	62.00
3771.05	32	62.00
3796.05	33	64.00
3821.05	33	64.00
3847.30	33	64.00
3872.30	33	64.00
3897.59	33	64.00
3923.56	34	66.00
3948.56	34	66.00
3974.81	34	66.00
3999.81	34	66.00
4024.81	34	66.00
4051.05	34	66.00
4076.05	34	66.00
4101.35	34	66.00
4127.31	34	66.00
4152.31	35	68.00
4178.56	35	68.00
4203.56	35	68.00
4228.56	35	68.00
4254.81	35	68.00
4279.81	35	68.00
4306.06	35	68.00
4331.06	35	68.00
4356.06	35	68.00
4382.31	35	68.00
4407.31	35	68.00
4432.31	35	68.00
4458.56	35	68.00
4483.56	35	68.00
4509.81	35	68.00
4534.81	35	68.00
4559.81	35	68.00
4586.06	35	68.00
4611.06	35	68.00
4636.35	35	68.00
4662.32	35	68.00
4687.32	35	68.00
4713.56	35	68.00
4738.56	35	68.00
4763.56	35	68.00
4789.81	35	68.00
4814.81	35	68.00
4840.11	35	68.00
4866.07	35	68.00
4891.07	35	68.00
4917.32	35	68.00
4942.32	35	68.00
4967.32	35	68.00
4993.57	35	68.00
5018.57	35	68.00
5044.82	35	68.00
5069.82	35	68.00
5094.82	35	68.00
5121.07	35	68.00
5146.07	35	68.00
5171.07	35	68.00
5197.32	35	68.00
5222.32	35	68.00
5248.57	35	68.00
5273.57	35	68.00
5298.57	35	68.00
5324.81	35	68.00
5349.81	35	68.00
5375.11	35	68.00
5401.07	35	68.00
5426.07	35	68.00
5452.32	35	68.00
5477.32	35	68.00
5502.32	35	68.00
5528.57	35	68.00
5553.57	35	68.00
5578.87	35	68.00
5604.83	35	68.00
5629.83	35	68.00
5656.08	35	68.00
5681.08	35	68.00
5706.08	35	68.00
5732.33	35	68.00
5757.33	35	68.00
5783.58	35	68.00
5808.58	35	68.00
5833.58	35	68.00
5859.83	34	66.00
5884.83	34	66.00
5909.83	34	66.00
5936.08	34	66.00
5961.08	34	66.00
5987.32	34	66.00
6012.32	34	66.00
6037.32	34	66.00
6063.57	34	66.00
6088.57	34	66.00
6113.87	34	66.00
6139.83	34	66.00
6164.83	34	66.00
6191.08	34	66.00
6216.08	34	66.00
6241.08	34	66.00
6267.33	34	66.00
6292.33	34	66.00
6317.63	34	66.00
6343.59	34	66.00
6368.59	34	66.00
6394.84	34	66.00
6419.84	34	66.00
6444.84	34	66.00
6471.09	34	66.00
6496.09	34	66.00
6522.34	34	66.00
6547.34	34	66.00
6572.34	34	66.00
6598.59	34	66.00
6623.59	34	66.00
6648.59	34	66.00
6674.83	34	66.00
6699.83	34	66.00
6726.08	34	66.00
6751.08	34	66.00
6776.08	34	66.00
6802.33	34	66.00
6827.33	34	66.00
6852.33	35	68.00
6878.58	35	68.00
6903.58	35	68.00
6929.83	35	68.00
6954.83	35	68.00
6979.83	35	68.00
7006.08	35	68.00
7031.08	35	68.00
7056.38	35	68.00
7082.34	35	68.00
7107.34	35	68.00
7133.59	35	68.00
7158.59	35	68.00
7183.59	35	68.00
7209.84	35	68.00
7234.84	35	68.00
7261.08	35	68.00
7286.08	34	66.00
7311.08	34	66.00
7337.33	34	66.00
7362.33	34	66.00
7387.33	34	66.00
7413.58	34	66.00
7438.58	34	66.00
7464.83	34	66.00
7489.83	34	66.00
7514.83	34	66.00
7541.08	34	66.00
7566.08	34	66.00
7591.08	34	66.00
7617.33	34	66.00
7642.33	34	66.00
7668.58	34	66.00
7693.58	34	66.00
7718.58	34	66.00
7744.83	34	66.00
7769.83	34	66.00
7795.12	34	66.00
7821.09	34	66.00
7846.09	34	66.00
7872.33	34	66.00
7897.33	34	66.00
7922.33	34	66.00
7948.58	34	66.00
7973.58	34	66.00
7999.83	34	66.00
8024.83	34	66.00
8049.83	34	66.00
8076.08	34	66.00
8101.08	34	66.00
