cdp	depth	vel
0.0	1.8	388.1580380990911
0.0	2.8	424.9160861591181
0.0	3.8	551.4997093342714
0.0	4.8	625.5996735885345
0.0	5.8	698.4220480591752
0.0	6.8	830.0224977949886
0.0	7.8	928.3218644369445
0.0	8.8	1137.855208404722
0.0	9.8	1430.9260769347677
0.0	10.8	1540.6665129971595
0.0	11.8	1675.4048013671052
0.0	12.8	1768.0667830721213
0.0	13.8	1793.1324607746574
0.0	14.8	1828.5731254454201
0.0	15.8	1687.229008630424
0.0	16.8	1561.1798960853248
0.0	17.8	1486.6098414033745
0.0	18.8	1467.7181034320924
0.0	19.8	1479.2815921700308
0.0	20.8	1373.407417204272
0.0	21.8	1302.1866053646522
0.0	22.8	1287.2329295071097
0.0	23.8	1292.6280889946313
0.0	24.8	1304.188798352696
0.0	25.8	1277.8266665730566
0.0	26.8	1285.4392692711424
0.0	27.8	1226.222784553526
0.0	28.8	1155.1904333602001
0.0	29.8	1114.962072217591
1.0	1.8	388.1580380990911
1.0	2.8	424.9160861591181
1.0	3.8	551.4997093342714
1.0	4.8	625.5996735885345
1.0	5.8	698.4220480591752
1.0	6.8	830.0224977949886
1.0	7.8	928.3218644369445
1.0	8.8	1137.855208404722
1.0	9.8	1430.9260769347677
1.0	10.8	1540.6665129971595
1.0	11.8	1675.4048013671052
1.0	12.8	1768.0667830721213
1.0	13.8	1793.1324607746574
1.0	14.8	1828.5731254454201
1.0	15.8	1687.229008630424
1.0	16.8	1561.1798960853248
1.0	17.8	1486.6098414033745
1.0	18.8	1467.7181034320924
1.0	19.8	1479.2815921700308
1.0	20.8	1373.407417204272
1.0	21.8	1302.1866053646522
1.0	22.8	1287.2329295071097
1.0	23.8	1292.6280889946313
1.0	24.8	1304.188798352696
1.0	25.8	1277.8266665730566
1.0	26.8	1285.4392692711424
1.0	27.8	1226.222784553526
1.0	28.8	1155.1904333602001
1.0	29.8	1114.962072217591
2.0	1.8	388.1580380990911
2.0	2.8	424.9160861591181
2.0	3.8	551.4997093342714
2.0	4.8	625.5996735885345
2.0	5.8	698.4220480591752
2.0	6.8	830.0224977949886
2.0	7.8	928.3218644369445
2.0	8.8	1137.855208404722
2.0	9.8	1430.9260769347677
2.0	10.8	1540.6665129971595
2.0	11.8	1675.4048013671052
2.0	12.8	1768.0667830721213
2.0	13.8	1793.1324607746574
2.0	14.8	1828.5731254454201
2.0	15.8	1687.229008630424
2.0	16.8	1561.1798960853248
2.0	17.8	1486.6098414033745
2.0	18.8	1467.7181034320924
2.0	19.8	1479.2815921700308
2.0	20.8	1373.407417204272
2.0	21.8	1302.1866053646522
2.0	22.8	1287.2329295071097
2.0	23.8	1292.6280889946313
2.0	24.8	1304.188798352696
2.0	25.8	1277.8266665730566
2.0	26.8	1285.4392692711424
2.0	27.8	1226.222784553526
2.0	28.8	1155.1904333602001
2.0	29.8	1114.962072217591
3.0	1.8	388.1580380990911
3.0	2.8	424.9160861591181
3.0	3.8	551.4997093342714
3.0	4.8	625.5996735885345
3.0	5.8	698.4220480591752
3.0	6.8	830.0224977949886
3.0	7.8	928.3218644369445
3.0	8.8	1137.855208404722
3.0	9.8	1430.9260769347677
3.0	10.8	1540.6665129971595
3.0	11.8	1675.4048013671052
3.0	12.8	1768.0667830721213
3.0	13.8	1793.1324607746574
3.0	14.8	1828.5731254454201
3.0	15.8	1687.229008630424
3.0	16.8	1561.1798960853248
3.0	17.8	1486.6098414033745
3.0	18.8	1467.7181034320924
3.0	19.8	1479.2815921700308
3.0	20.8	1373.407417204272
3.0	21.8	1302.1866053646522
3.0	22.8	1287.2329295071097
3.0	23.8	1292.6280889946313
3.0	24.8	1304.188798352696
3.0	25.8	1277.8266665730566
3.0	26.8	1285.4392692711424
3.0	27.8	1226.222784553526
3.0	28.8	1155.1904333602001
3.0	29.8	1114.962072217591
4.0	1.8	388.1580380990911
4.0	2.8	424.9160861591181
4.0	3.8	551.4997093342714
4.0	4.8	625.5996735885345
4.0	5.8	698.4220480591752
4.0	6.8	830.0224977949886
4.0	7.8	928.3218644369445
4.0	8.8	1137.855208404722
4.0	9.8	1430.9260769347677
4.0	10.8	1540.6665129971595
4.0	11.8	1675.4048013671052
4.0	12.8	1768.0667830721213
4.0	13.8	1793.1324607746574
4.0	14.8	1828.5731254454201
4.0	15.8	1687.229008630424
4.0	16.8	1561.1798960853248
4.0	17.8	1486.6098414033745
4.0	18.8	1467.7181034320924
4.0	19.8	1479.2815921700308
4.0	20.8	1373.407417204272
4.0	21.8	1302.1866053646522
4.0	22.8	1287.2329295071097
4.0	23.8	1292.6280889946313
4.0	24.8	1304.188798352696
4.0	25.8	1277.8266665730566
4.0	26.8	1285.4392692711424
4.0	27.8	1226.222784553526
4.0	28.8	1155.1904333602001
4.0	29.8	1114.962072217591
5.0	1.8	388.1580380990911
5.0	2.8	424.9160861591181
5.0	3.8	551.4997093342714
5.0	4.8	625.5996735885345
5.0	5.8	698.4220480591752
5.0	6.8	830.0224977949886
5.0	7.8	928.3218644369445
5.0	8.8	1137.855208404722
5.0	9.8	1430.9260769347677
